n_tracks,repeat,epsilon,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
5,0,0.0004247940677551889,15,360,15,0,1.0,0.0
5,1,0.0004247940677551889,15,360,15,0,1.0,0.0
5,2,0.0004247940677551889,15,360,15,0,1.0,0.0
5,3,0.0004247940677551889,15,360,15,0,1.0,0.0
5,4,0.0004247940677551889,15,360,15,0,1.0,0.0
10,0,0.0004247940677551889,30,2970,30,0,1.0,0.0
10,1,0.0004247940677551889,30,2970,30,0,1.0,0.0
10,2,0.0004247940677551889,30,2970,30,0,1.0,0.0
10,3,0.0004247940677551889,30,2970,30,0,1.0,0.0
10,4,0.0004247940677551889,30,2970,30,0,1.0,0.0
15,0,0.0004247940677551889,45,10080,45,0,1.0,0.0
15,1,0.0004247940677551889,45,10080,45,0,1.0,0.0
15,2,0.0004247940677551889,45,10080,45,0,1.0,0.0
15,3,0.0004247940677551889,45,10080,45,0,1.0,0.0
15,4,0.0004247940677551889,45,10080,45,0,1.0,0.0
20,0,0.0004247940677551889,60,23940,60,0,1.0,0.0
20,1,0.0004247940677551889,60,23940,60,0,1.0,0.0
20,2,0.0004247940677551889,60,23940,60,0,1.0,0.0
20,3,0.0004247940677551889,60,23940,60,0,1.0,0.0
20,4,0.0004247940677551889,60,23940,60,0,1.0,0.0
25,0,0.0004247940677551889,75,46800,75,0,1.0,0.0
25,1,0.0004247940677551889,75,46800,75,0,1.0,0.0
25,2,0.0004247940677551889,75,46800,75,0,1.0,0.0
25,3,0.0004247940677551889,75,46800,75,0,1.0,0.0
25,4,0.0004247940677551889,75,46800,75,0,1.0,0.0
30,0,0.0004247940677551889,90,80910,90,0,1.0,0.0
30,1,0.0004247940677551889,90,80910,90,0,1.0,0.0
30,2,0.0004247940677551889,90,80910,90,0,1.0,0.0
30,3,0.0004247940677551889,90,80910,90,0,1.0,0.0
30,4,0.0004247940677551889,90,80910,90,0,1.0,0.0
35,0,0.0004247940677551889,105,128520,105,0,1.0,0.0
35,1,0.0004247940677551889,105,128520,105,0,1.0,0.0
35,2,0.0004247940677551889,105,128520,105,0,1.0,0.0
35,3,0.0004247940677551889,105,128520,105,0,1.0,0.0
35,4,0.0004247940677551889,105,128520,105,0,1.0,0.0
40,0,0.0004247940677551889,120,191880,120,0,1.0,0.0
40,1,0.0004247940677551889,120,191880,120,0,1.0,0.0
40,2,0.0004247940677551889,120,191880,120,0,1.0,0.0
40,3,0.0004247940677551889,120,191880,120,0,1.0,0.0
40,4,0.0004247940677551889,120,191880,120,0,1.0,0.0
45,0,0.0004247940677551889,135,273240,135,0,1.0,0.0
45,1,0.0004247940677551889,135,273240,135,0,1.0,0.0
45,2,0.0004247940677551889,135,273240,135,0,1.0,0.0
45,3,0.0004247940677551889,135,273240,135,0,1.0,0.0
45,4,0.0004247940677551889,135,273240,135,0,1.0,0.0
50,0,0.0004247940677551889,150,374850,150,0,1.0,0.0
50,1,0.0004247940677551889,150,374850,150,0,1.0,0.0
