n_tracks,drop_rate,ghost_rate,repeat,trip_n_true,trip_n_false,trip_true_accepted,trip_false_accepted,trip_segment_efficiency,trip_segment_false_rate,pair_n_true,pair_n_false,pair_true_accepted,pair_false_accepted,pair_segment_efficiency,pair_segment_false_rate
20,0.0,0.0,0,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,1,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,2,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,3,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,4,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,5,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,6,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,7,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,8,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.0,0.0,9,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.01,0.0,0,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.01,0.0,1,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.01,0.0,2,56,22364,56,0,1.0,0.0,114,2889,114,0,1.0,0.0
20,0.01,0.0,3,59,23541,59,0,1.0,0.0,117,2964,117,0,1.0,0.0
20,0.01,0.0,4,57,22743,57,0,1.0,0.0,117,2964,117,0,1.0,0.0
20,0.01,0.0,5,53,21246,53,1,1.0,0.0185185185185185,111,2815,111,0,1.0,0.0
20,0.01,0.0,6,57,22743,57,0,1.0,0.0,117,2964,117,0,1.0,0.0
20,0.01,0.0,7,57,22763,57,0,1.0,0.0,114,2889,114,0,1.0,0.0
20,0.01,0.0,8,60,23940,60,0,1.0,0.0,120,3040,120,0,1.0,0.0
20,0.01,0.0,9,59,23541,59,2,1.0,0.0327868852459016,117,2964,117,16,1.0,0.1203007518796992
20,0.02,0.0,0,53,20467,53,0,1.0,0.0,109,2741,109,0,1.0,0.0
20,0.02,0.0,1,59,23541,59,0,1.0,0.0,117,2964,117,0,1.0,0.0
20,0.02,0.0,2,59,23541,59,0,1.0,0.0,117,2964,117,0,1.0,0.0
20,0.02,0.0,3,53,21246,53,0,1.0,0.0,111,2815,111,0,1.0,0.0
20,0.02,0.0,4,54,21606,54,0,1.0,0.0,111,2815,111,0,1.0,0.0
20,0.02,0.0,5,58,23142,58,0,1.0,0.0,114,2889,114,0,1.0,0.0
20,0.02,0.0,6,58,23142,58,0,1.0,0.0,117,2964,117,0,1.0,0.0
20,0.02,0.0,7,56,22364,56,0,1.0,0.0,114,2889,114,0,1.0,0.0
20,0.02,0.0,8,54,21586,54,0,1.0,0.0,108,2742,108,0,1.0,0.0
20,0.02,0.0,9,58,23142,58,0,1.0,0.0,117,2964,117,0,1.0,0.0
20,0.05,0.0,0,46,18080,46,0,1.0,0.0,94,2391,94,0,1.0,0.0
20,0.05,0.0,1,52,20868,52,0,1.0,0.0,99,2529,99,0,1.0,0.0
20,0.05,0.0,2,52,20886,52,0,1.0,0.0,108,2742,108,0,1.0,0.0
20,0.05,0.0,3,53,21246,53,1,1.0,0.0185185185185185,108,2742,108,0,1.0,0.0
20,0.05,0.0,4,48,19104,48,0,1.0,0.0,103,2598,103,0,1.0,0.0
20,0.05,0.0,5,50,20166,50,0,1.0,0.0,105,2670,105,0,1.0,0.0
20,0.05,0.0,6,57,22743,57,0,1.0,0.0,114,2889,114,0,1.0,0.0
20,0.05,0.0,7,47,19105,47,0,1.0,0.0,102,2599,102,0,1.0,0.0
20,0.05,0.0,8,58,23142,58,0,1.0,0.0,114,2889,114,0,1.0,0.0
20,0.05,0.0,9,50,20090,50,0,1.0,0.0,103,2598,103,0,1.0,0.0
20,0.1,0.0,0,39,14989,39,0,1.0,0.0,84,2061,84,0,1.0,0.0
20,0.1,0.0,1,43,17129,43,0,1.0,0.0,89,2257,89,0,1.0,0.0
20,0.1,0.0,2,46,18728,46,0,1.0,0.0,93,2392,93,0,1.0,0.0
20,0.1,0.0,3,48,19408,48,0,1.0,0.0,97,2459,97,0,1.0,0.0
20,0.1,0.0,4,46,17738,46,0,1.0,0.0,89,2257,89,0,1.0,0.0
20,0.1,0.0,5,47,19033,47,0,1.0,0.0,99,2529,99,0,1.0,0.0
20,0.1,0.0,6,42,17343,42,0,1.0,0.0,89,2257,89,0,1.0,0.0
20,0.1,0.0,7,46,17054,46,0,1.0,0.0,91,2187,91,0,1.0,0.0
20,0.1,0.0,8,38,15738,38,1,1.0,0.0256410256410256,88,2258,88,10,1.0,0.1020408163265306
20,0.1,0.0,9,47,18402,47,0,1.0,0.0,97,2459,97,0,1.0,0.0
20,0.15,0.0,0,32,13200,32,0,1.0,0.0,75,1878,75,0,1.0,0.0
20,0.15,0.0,1,39,14071,39,0,1.0,0.0,77,1876,77,0,1.0,0.0
20,0.15,0.0,2,38,15262,38,1,1.0,0.0256410256410256,80,2065,80,0,1.0,0.0
20,0.15,0.0,3,37,13211,37,0,1.0,0.0,72,1698,72,0,1.0,0.0
20,0.15,0.0,4,35,12733,35,0,1.0,0.0,76,1877,76,0,1.0,0.0
20,0.15,0.0,5,30,13043,30,0,1.0,0.0,69,1761,69,0,1.0,0.0
20,0.15,0.0,6,40,16178,40,0,1.0,0.0,82,2129,82,0,1.0,0.0
20,0.15,0.0,7,37,14975,37,0,1.0,0.0,78,2002,78,0,1.0,0.0
20,0.15,0.0,8,32,12256,32,0,1.0,0.0,72,1758,72,0,1.0,0.0
20,0.15,0.0,9,39,14649,39,0,1.0,0.0,78,1875,78,0,1.0,0.0
20,0.2,0.0,0,32,10723,32,0,1.0,0.0,63,1533,63,0,1.0,0.0
20,0.2,0.0,1,31,11714,31,0,1.0,0.0,66,1645,66,0,1.0,0.0
20,0.2,0.0,2,32,12448,32,0,1.0,0.0,69,1701,69,0,1.0,0.0
20,0.2,0.0,3,32,12956,32,0,1.0,0.0,75,1878,75,0,1.0,0.0
20,0.2,0.0,4,28,12086,28,0,1.0,0.0,64,1647,64,0,1.0,0.0
20,0.2,0.0,5,38,14378,38,0,1.0,0.0,79,2001,79,0,1.0,0.0
20,0.2,0.0,6,30,12120,30,0,1.0,0.0,71,1759,71,0,1.0,0.0
20,0.2,0.0,7,36,13785,36,0,1.0,0.0,75,1878,75,0,1.0,0.0
20,0.2,0.0,8,32,12112,32,0,1.0,0.0,72,1758,72,0,1.0,0.0
20,0.2,0.0,9,38,15694,38,0,1.0,0.0,78,2002,78,0,1.0,0.0
20,0.3,0.0,0,19,8493,19,0,1.0,0.0,50,1276,50,0,1.0,0.0
20,0.3,0.0,1,18,8562,18,0,1.0,0.0,48,1278,48,0,1.0,0.0
20,0.3,0.0,2,30,10140,30,0,1.0,0.0,58,1268,58,0,1.0,0.0
20,0.3,0.0,3,22,7982,22,0,1.0,0.0,50,1276,50,0,1.0,0.0
20,0.3,0.0,4,17,6366,17,0,1.0,0.0,40,950,40,0,1.0,0.0
20,0.3,0.0,5,25,10663,25,0,1.0,0.0,61,1592,61,0,1.0,0.0
20,0.3,0.0,6,28,9681,28,0,1.0,0.0,55,1220,55,0,1.0,0.0
20,0.3,0.0,7,16,5132,16,0,1.0,0.0,34,786,34,0,1.0,0.0
20,0.3,0.0,8,25,8893,25,0,1.0,0.0,56,1270,56,0,1.0,0.0
20,0.3,0.0,9,20,8380,20,0,1.0,0.0,49,1329,49,0,1.0,0.0
100,0.0,0.0,0,300,2999700,300,4,1.0,0.0131578947368421,600,79200,600,0,1.0,0.0
100,0.0,0.0,1,300,2999700,300,10,1.0,0.032258064516129,600,79200,600,0,1.0,0.0
100,0.0,0.0,2,300,2999700,300,9,1.0,0.029126213592233,600,79200,600,0,1.0,0.0
100,0.0,0.0,3,300,2999700,300,12,1.0,0.0384615384615384,600,79200,600,11,1.0,0.0180032733224222
100,0.0,0.0,4,300,2999700,300,10,1.0,0.032258064516129,600,79200,600,0,1.0,0.0
100,0.0,0.0,5,300,2999700,300,3,1.0,0.0099009900990099,600,79200,600,12,1.0,0.0196078431372549
100,0.0,0.0,6,300,2999700,300,8,1.0,0.0259740259740259,600,79200,600,10,1.0,0.0163934426229508
100,0.0,0.0,7,300,2999700,300,6,1.0,0.0196078431372549,600,79200,600,0,1.0,0.0
100,0.0,0.0,8,300,2999700,300,4,1.0,0.0131578947368421,600,79200,600,0,1.0,0.0
100,0.0,0.0,9,300,2999700,300,9,1.0,0.029126213592233,600,79200,600,16,1.0,0.0259740259740259
100,0.01,0.0,0,289,2890907,289,3,1.0,0.0102739726027397,585,77230,585,0,1.0,0.0
100,0.01,0.0,1,298,2979702,298,9,1.0,0.0293159609120521,594,78409,594,16,1.0,0.0262295081967213
100,0.01,0.0,2,279,2793897,279,5,1.0,0.0176056338028169,573,75672,573,12,1.0,0.0205128205128205
100,0.01,0.0,3,287,2852101,287,9,1.0,0.0304054054054054,580,76448,580,16,1.0,0.0268456375838926
100,0.01,0.0,4,289,2890907,289,6,1.0,0.0203389830508474,585,77230,585,0,1.0,0.0
100,0.01,0.0,5,289,2881304,289,6,1.0,0.0203389830508474,580,76448,580,0,1.0,0.0
100,0.01,0.0,6,292,2920308,292,4,1.0,0.0135135135135135,582,76839,582,16,1.0,0.0267558528428093
100,0.01,0.0,7,290,2900707,290,8,1.0,0.0268456375838926,585,77230,585,14,1.0,0.023372287145242
100,0.01,0.0,8,284,2842500,284,6,1.0,0.0206896551724137,576,76060,576,30,1.0,0.0495049504950495
100,0.01,0.0,9,285,2841315,285,8,1.0,0.0273037542662116,580,76448,580,26,1.0,0.0429042904290429
100,0.02,0.0,0,270,2698585,270,1,1.0,0.003690036900369,556,73364,556,12,1.0,0.0211267605633802
100,0.02,0.0,1,286,2861214,285,4,0.9965034965034965,0.0138408304498269,576,76060,576,0,1.0,0.0
100,0.02,0.0,2,269,2699251,269,7,1.0,0.0253623188405797,553,72983,553,15,1.0,0.0264084507042253
100,0.02,0.0,3,270,2707964,270,9,1.0,0.032258064516129,561,74130,561,0,1.0,0.0
100,0.02,0.0,4,265,2641331,265,5,1.0,0.0185185185185185,553,72983,553,0,1.0,0.0
100,0.02,0.0,5,274,2737454,274,1,1.0,0.0036363636363636,554,72982,554,0,1.0,0.0
100,0.02,0.0,6,284,2841816,284,5,1.0,0.0173010380622837,570,75285,570,3,1.0,0.0052356020942408
100,0.02,0.0,7,283,2832799,283,11,1.0,0.0374149659863945,570,75285,570,0,1.0,0.0
100,0.02,0.0,8,271,2709329,271,5,1.0,0.0181159420289855,556,73364,556,31,1.0,0.0528109028960817
100,0.02,0.0,9,290,2900610,290,5,1.0,0.0169491525423728,579,76449,579,2,1.0,0.0034423407917383
100,0.05,0.0,0,266,2672860,266,10,1.0,0.036231884057971,541,71469,541,0,1.0,0.0
100,0.05,0.0,1,259,2580131,259,1,1.0,0.0038461538461538,530,69970,530,0,1.0,0.0
100,0.05,0.0,2,254,2551666,254,4,1.0,0.0155038759689922,515,68120,515,0,1.0,0.0
100,0.05,0.0,3,264,2643776,264,7,1.0,0.025830258302583,533,70343,533,10,1.0,0.0184162062615101
100,0.05,0.0,4,265,2626871,265,8,1.0,0.0293040293040293,537,70716,537,0,1.0,0.0
100,0.05,0.0,5,264,2635420,264,7,1.0,0.025830258302583,533,70343,533,0,1.0,0.0
100,0.05,0.0,6,269,2700019,269,8,1.0,0.0288808664259927,552,72984,552,0,1.0,0.0
100,0.05,0.0,7,262,2635133,262,6,1.0,0.0223880597014925,543,71847,543,14,1.0,0.0251346499102333
100,0.05,0.0,8,252,2534928,252,4,1.0,0.015625,523,69228,523,0,1.0,0.0
100,0.05,0.0,9,255,2543946,255,7,1.0,0.0267175572519083,533,70343,533,0,1.0,0.0
100,0.1,0.0,0,231,2323737,231,5,1.0,0.0211864406779661,478,63068,478,4,1.0,0.0082987551867219
100,0.1,0.0,1,231,2267667,231,5,1.0,0.0211864406779661,465,60960,465,12,1.0,0.0251572327044025
100,0.1,0.0,2,216,2202080,216,4,1.0,0.0181818181818181,457,60968,457,0,1.0,0.0
100,0.1,0.0,3,216,2201814,216,5,1.0,0.0226244343891402,464,61664,464,18,1.0,0.0373443983402489
100,0.1,0.0,4,214,2154026,214,5,1.0,0.0228310502283105,461,60614,461,0,1.0,0.0
100,0.1,0.0,5,212,2138369,212,6,1.0,0.0275229357798165,452,59579,452,0,1.0,0.0
100,0.1,0.0,6,202,2067006,202,5,1.0,0.0241545893719806,445,58551,445,0,1.0,0.0
100,0.1,0.0,7,228,2267856,228,5,1.0,0.0214592274678111,474,62361,474,0,1.0,0.0
100,0.1,0.0,8,223,2186507,222,6,0.9955156950672646,0.0263157894736842,466,61310,466,0,1.0,0.0
100,0.1,0.0,9,230,2333350,230,5,1.0,0.0212765957446808,474,62716,474,0,1.0,0.0
100,0.15,0.0,0,193,1907615,193,3,1.0,0.0153061224489795,418,54528,418,4,1.0,0.0094786729857819
100,0.15,0.0,1,183,1805897,183,2,1.0,0.0108108108108108,386,51295,386,11,1.0,0.0277078085642317
100,0.15,0.0,2,189,1734661,189,6,1.0,0.0307692307692307,380,48761,380,0,1.0,0.0
100,0.15,0.0,3,186,1873442,186,7,1.0,0.0362694300518134,384,50656,384,9,1.0,0.0229007633587786
100,0.15,0.0,4,175,1739089,175,4,1.0,0.0223463687150838,394,51609,394,0,1.0,0.0
100,0.15,0.0,5,197,1988779,197,7,1.0,0.034313725490196,416,54530,416,0,1.0,0.0
100,0.15,0.0,6,191,1878487,191,5,1.0,0.0255102040816326,398,52252,398,0,1.0,0.0
100,0.15,0.0,7,183,1790767,183,3,1.0,0.0161290322580645,393,51288,393,0,1.0,0.0
100,0.15,0.0,8,187,1872173,187,2,1.0,0.0105820105820105,403,52898,403,0,1.0,0.0
100,0.15,0.0,9,212,2108584,212,5,1.0,0.0230414746543778,441,58212,441,0,1.0,0.0
100,0.2,0.0,0,157,1542323,157,3,1.0,0.01875,341,44509,341,1,1.0,0.0029239766081871
100,0.2,0.0,1,157,1535919,157,5,1.0,0.0308641975308641,344,44506,344,0,1.0,0.0
100,0.2,0.0,2,167,1632793,167,7,1.0,0.0402298850574712,369,48147,369,11,1.0,0.0289473684210526
100,0.2,0.0,3,155,1572865,155,1,1.0,0.0064102564102564,333,44517,333,9,1.0,0.0263157894736842
